cellline_id,drug_id,ic50_value,cancer_type_id
SU-DHL-4,Embelin,1.866391,3
SU-DHL-5,Embelin,0.817047,3
SU-DHL-6,Embelin,3.352176,3
SU-DHL-8,Embelin,1.325941,-1
SUP-HD1,Embelin,4.486809,3
SUP-M2,Embelin,1.376281,3
TK,Embelin,1.892203,3
VAL,Embelin,3.205251,3
WIL2-NS,Embelin,1.770732,3
WSU-DLCL2,Embelin,5.281189,3
MCC13,Embelin,2.632869,3
MC-CAR,FH535,1.963282,3
PFSK-1,FH535,1.747403,3
A673,FH535,0.961516,3
ES3,FH535,2.044104,3
ES5,FH535,2.394701,3
ES7,FH535,2.378545,3
EW-11,FH535,3.810556,3
SK-ES-1,FH535,1.434909,3
NCI-H1395,FH535,5.811838,1
COLO-829,FH535,-0.460851,3
RT4,FH535,4.769225,3
SW780,FH535,1.584269,3
TCCSUP,FH535,1.501095,3
C-33-A,FH535,0.85712,3
C-4-I,FH535,1.347161,3
ME-180,FH535,1.95339,3
42-MG-BA,FH535,3.753336,3
8-MG-BA,FH535,1.373063,3
A172,FH535,1.529249,3
GB-1,FH535,1.07004,3
T98G,FH535,2.079081,3
U-118-MG,FH535,3.500365,3
U-87-MG,FH535,3.24319,3
YKG-1,FH535,1.30095,3
ChaGo-K-1,FH535,1.461801,1
NCI-H720,FH535,4.768341,1
Calu-3,FH535,1.118723,1
COR-L23,FH535,1.001406,1
LK-2,FH535,-0.19106,1
NCI-H1437,FH535,0.917267,1
NCI-H1623,FH535,4.132763,1
NCI-H1648,FH535,0.811329,1
NCI-H1693,FH535,4.245425,1
NCI-H1770,FH535,2.473638,1
NCI-H1838,FH535,4.951727,1
NCI-H2085,FH535,1.786439,1
NCI-H2126,FH535,2.899328,1
NCI-H2170,FH535,-0.045641,1
NCI-H2228,FH535,3.081215,1
NCI-H2342,FH535,1.563318,1
NCI-H2347,FH535,1.885536,1
NCI-H2405,FH535,0.761851,1
NCI-H661,FH535,1.312201,1
DMS-114,FH535,3.737182,1
DMS-273,FH535,-0.357958,1
NCI-H1048,FH535,3.268175,1
NCI-H1092,FH535,3.39824,1
NCI-H1417,FH535,2.959679,1
NCI-H1694,FH535,3.115636,1
NCI-H187,FH535,2.575042,1
NCI-H1963,FH535,1.971649,1
NCI-H2029,FH535,3.203145,1
NCI-H209,FH535,4.192056,1
NCI-H2141,FH535,3.771038,1
NCI-H2171,FH535,3.854089,1
NCI-H2227,FH535,2.352874,1
NCI-H345,FH535,1.555523,1
NCI-H446,FH535,3.932827,1
NCI-H526,FH535,3.433307,1
NCI-H64,FH535,1.74781,1
NCI-H69,FH535,4.200023,1
NCI-H82,FH535,2.443216,1
SK-N-DZ,FH535,2.795802,3
SK-N-FI,FH535,2.948262,3
VA-ES-BJ,FH535,0.222749,3
LU-139,FH535,2.628841,1
SBC-5,FH535,0.587431,1
SBC-1,FH535,3.576181,1
LU-135,FH535,0.742005,1
SK-N-SH,FH535,0.083336,3
NCI-H2030,FH535,1.753813,1
NCI-H2122,FH535,0.19792,1
NCI-H1734,FH535,2.129119,1
NCI-H650,FH535,3.458841,1
T-24,FH535,3.785654,3
SK-N-AS,FH535,0.99162,3
NCI-H1299,FH535,1.054713,1
NCI-H2087,FH535,0.666427,1
UM-UC-3,FH535,0.518436,3
SW756,FH535,1.273677,3
NCI-H727,FH535,0.71993,1
Calu-6,FH535,0.070963,1
LU-65,FH535,3.760421,1
NCI-H1355,FH535,1.015765,1
NCI-H1792,FH535,1.222549,1
HPAF-II,FH535,2.173424,2
MIA-PaCa-2,FH535,-0.235476,2
SHP-77,FH535,3.225437,1
NCI-H2009,FH535,0.724223,1
NCI-H2291,FH535,4.584877,1
SW1573,FH535,1.904411,1
SW900,FH535,2.977188,1
TE-5,FH535,1.835723,0
HCC1954,FH535,0.775672,1
HCC1143,FH535,0.374787,1
HCC1187,FH535,2.544775,1
HCC1395,FH535,-0.596225,1
HCC1599,FH535,2.55472,1
HCC1937,FH535,2.044171,1
HCC2157,FH535,2.311898,1
HCC2218,FH535,1.384249,1
HCC38,FH535,2.376412,1
BB30-HNC,FH535,0.986443,3
BB49-HNC,FH535,3.946203,3
BB65-RCC,FH535,1.120712,2
BEN,FH535,0.750394,1
BHY,FH535,1.416975,3
Ca9-22,FH535,1.590078,3
CAL-12T,FH535,0.27699,1
CAL-33,FH535,1.349216,3
CP50-MEL-B,FH535,-0.07943,3
CP66-MEL,FH535,-1.679271,3
CPC-N,FH535,3.839383,1
CTV-1,FH535,1.631409,3
D-542MG,FH535,-0.42543,3
DMS-79,FH535,6.15664,1
DSH1,FH535,0.058173,3
EBC-1,FH535,1.589937,1
EC-GI-10,FH535,3.07723,0
EPLC-272H,FH535,2.967944,1
HA7-RCC,FH535,2.249754,2
HCE-4,FH535,0.8997,0
HO-1-u-1,FH535,1.285682,3
HSC-2,FH535,1.399469,3
IM-9,FH535,2.734495,3
IST-SL1,FH535,3.292683,1
IST-SL2,FH535,2.086598,1
J82,FH535,0.647965,3
KOSC-2,FH535,5.699727,3
KP-4,FH535,0.535458,2
KYSE-140,FH535,1.735546,0
KYSE-410,FH535,1.827982,0
KYSE-520,FH535,3.010977,0
KYSE-70,FH535,1.095933,0
LB1047-RCC,FH535,1.71099,2
LB2241-RCC,FH535,1.014292,2
LB2518-MEL,FH535,0.286258,3
LB373-MEL-D,FH535,0.745427,3
LB647-SCLC,FH535,2.932671,1
LB771-HNC,FH535,0.867624,3
LB831-BLC,FH535,0.574612,3
LB996-RCC,FH535,1.951809,2
LCLC-103H,FH535,1.633941,1
LU-134-A,FH535,6.185323,1
LU-165,FH535,3.739058,1
LXF-289,FH535,1.341637,1
MS-1,FH535,2.947476,1
MZ1-PC,FH535,2.085665,2
MZ7-mel,FH535,0.864496,3
NCI-H1304,FH535,4.492888,1
NCI-H1563,FH535,2.566576,1
NCI-H292,FH535,2.373201,1
NCI-H510A,FH535,2.811055,1
PC-14,FH535,2.799085,1
SBC-3,FH535,-0.622302,1
SK-MM-2,FH535,3.720369,3
TE-15,FH535,1.125819,0
BE2-M17,FH535,3.871238,3
KELLY,FH535,2.142628,3
SIMA,FH535,2.61996,3
TE-1,FH535,2.04681,0
TE-10,FH535,1.319383,0
TE-8,FH535,1.874644,0
CAPAN-1,FH535,0.791115,2
OVCAR-3,FH535,1.810322,1
PC-3,FH535,1.801672,1
DU-145,FH535,1.488654,1
HCT-116,FH535,1.484123,0
HCT-15,FH535,1.846174,0
HL-60,FH535,1.397573,3
HT-29,FH535,1.71896,0
K-562,FH535,2.896406,3
NCI-H226,FH535,2.593106,1
NCI-H23,FH535,3.677123,1
NCI-H460,FH535,1.367844,1
NCI-H522,FH535,0.757517,1
T47D,FH535,3.062938,1
MCF7,FH535,1.019141,1
786-0,FH535,1.245944,2
A498,FH535,7.212149,2
ACHN,FH535,1.689284,2
CCRF-CEM,FH535,1.814474,3
SK-MEL-28,FH535,-0.823736,3
SK-MEL-2,FH535,0.201046,3
Hs-578-T,FH535,2.071694,1
MOLT-4,FH535,2.409066,3
SK-OV-3,FH535,2.049959,1
MDA-MB-231,FH535,2.594948,1
COLO-205,FH535,0.974317,0
SW620,FH535,1.37132,0
CAKI-1,FH535,2.182426,2
RPMI-8226,FH535,2.012958,3
SR,FH535,1.683091,3
NCI-H322M,FH535,6.924361,1
OVCAR-5,FH535,3.125012,1
EKVX,FH535,2.309713,1
HCC2998,FH535,1.132542,0
HOP-62,FH535,1.470565,1
HOP-92,FH535,0.755359,1
LOXIMVI,FH535,2.511248,3
M14,FH535,3.923288,3
UACC-62,FH535,-1.145,3
UACC-257,FH535,1.445866,3
RXF393,FH535,3.498223,2
SN12C,FH535,1.463194,2
TK10,FH535,2.010883,2
U031,FH535,1.933522,2
SNB75,FH535,3.270196,3
U251,FH535,0.863872,3
SF539,FH535,2.412587,3
SF295,FH535,0.795243,3
SF268,FH535,1.807608,3
KM12,FH535,1.821629,0
OVCAR-4,FH535,1.56823,1
OVCAR-8,FH535,1.572174,1
BxPC-3,FH535,1.902775,2
BHT-101,FH535,1.839793,3
Becker,FH535,2.315913,3
BE-13,FH535,2.009999,3
ARH-77,FH535,3.417046,3
AGS,FH535,1.823855,0
ABC-1,FH535,1.268569,1
A2058,FH535,0.601565,3
A375,FH535,0.85933,3
A253,FH535,1.606704,3
8305C,FH535,1.275382,3
647-V,FH535,1.117216,3
639-V,FH535,0.602872,3
BT-20,FH535,2.098021,1
ACN,FH535,1.432342,3
A2780,FH535,1.796824,1
COR-L105,FH535,1.660886,1
COR-L88,FH535,4.6074,1
COLO-824,FH535,2.842803,1
COLO-800,FH535,1.688085,3
COLO-792,FH535,0.03656,3
COLO-741,FH535,1.530597,0
COLO-680N,FH535,2.352124,0
COLO-679,FH535,0.869333,3
CHP-212,FH535,0.442427,3
CFPAC-1,FH535,1.912611,2
CCF-STTG1,FH535,2.272859,3
Ca-Ski,FH535,2.56167,3
Caov-3,FH535,3.562664,1
CAL-120,FH535,2.035892,1
CAL-72,FH535,2.165114,3
CAL-62,FH535,0.891115,3
C32,FH535,-1.957243,3
Daudi,FH535,0.219796,3
DB,FH535,1.602916,3
Daoy,FH535,1.517814,3
D-283MED,FH535,1.285531,3
DBTRG-05MG,FH535,2.241883,3
DEL,FH535,1.943867,3
Detroit562,FH535,1.680059,3
DG-75,FH535,3.720189,3
DK-MG,FH535,2.832864,3
DJM-1,FH535,2.151471,3
DOHH-2,FH535,1.903358,3
DoTc2-4510,FH535,0.466949,3
DU-4475,FH535,1.863482,1
EB2,FH535,2.286701,3
EB-3,FH535,1.131088,3
ECC10,FH535,1.771304,0
EFM-19,FH535,1.743244,1
EFO-27,FH535,1.581793,1
EGI-1,FH535,2.532654,3
EHEB,FH535,2.74267,3
EM-2,FH535,2.810024,3
EoL-1-cell,FH535,1.609326,3
ETK-1,FH535,1.728141,3
EVSA-T,FH535,2.638247,1
FADU,FH535,0.950906,3
FTC-133,FH535,1.684219,3
G-361,FH535,0.654028,3
GAMG,FH535,1.745339,3
GCIY,FH535,1.114191,0
GDM-1,FH535,1.845498,3
GI-1,FH535,0.377173,3
GI-ME-N,FH535,2.580731,3
GMS-10,FH535,2.772284,3
GOTO,FH535,4.359981,3
GR-ST,FH535,2.428764,3
GCT,FH535,1.222836,3
ESS-1,FH535,1.713529,3
H4,FH535,1.040231,3
H9,FH535,2.406647,3
HC-1,FH535,2.141695,3
HCC1419,FH535,1.459589,1
HCC1569,FH535,1.40598,1
HCC1806,FH535,2.977666,1
HCC70,FH535,1.700318,1
HD-MY-Z,FH535,2.64588,3
HEC-1,FH535,2.067939,3
HEL,FH535,1.699253,3
HGC-27,FH535,1.333473,0
HH,FH535,2.934694,3
HLE,FH535,0.885209,2
HMV-II,FH535,0.78576,3
HN,FH535,3.725364,3
HOS,FH535,1.265748,3
HSC-3,FH535,1.157971,3
HSC-4,FH535,2.542948,3
HT,FH535,1.092798,3
HT-1080,FH535,0.308059,3
HT-1197,FH535,2.226143,3
HT-1376,FH535,1.363998,3
HT-144,FH535,1.031304,3
HT-3,FH535,3.387128,3
HuCCT1,FH535,2.108072,3
HuH-7,FH535,0.291811,2
HuO9,FH535,3.904852,3
HuTu-80,FH535,0.136553,0
IGR-1,FH535,0.331167,3
IMR-5,FH535,2.379624,3
IPC-298,FH535,1.153371,3
IST-MEL1,FH535,1.952975,3
IST-MES1,FH535,1.596743,3
JAR,FH535,3.338032,3
JEG-3,FH535,0.646954,3
JiyoyeP-2003,FH535,1.682409,3
JVM-2,FH535,4.40456,3
JVM-3,FH535,4.085289,3
KALS-1,FH535,1.937142,3
KARPAS-45,FH535,1.565057,3
KARPAS-299,FH535,4.048988,3
KARPAS-422,FH535,1.92594,3
KE-37,FH535,1.950477,3
KG-1,FH535,1.963602,3
KINGS-1,FH535,3.169153,3
KMOE-2,FH535,1.450841,3
KMS-12-BM,FH535,1.793774,3
KNS-42,FH535,2.28025,3
HuP-T3,FH535,2.637676,2
HuP-T4,FH535,0.17936,2
HT55,FH535,4.131853,0
HT-115,FH535,3.695264,0
H-EMC-SS,FH535,2.346895,3
GP5d,FH535,0.003063,0
DMS-53,FH535,-0.635246,1
G-402,FH535,1.602147,3
G-401,FH535,0.021228,3
KY821,FH535,3.588762,3
KU812,FH535,2.16447,3
KU-19-19,FH535,3.032889,3
KS-1,FH535,2.367217,3
KP-N-YN,FH535,2.602644,3
KYSE-150,FH535,1.524662,0
KYSE-180,FH535,1.295417,0
KYSE-270,FH535,1.260651,0
KYSE-450,FH535,1.951649,0
KYSE-510,FH535,1.695418,0
L-428,FH535,2.438213,3
L-540,FH535,1.720138,3
LAMA-84,FH535,1.870726,3
LC-2-ad,FH535,1.668703,1
LC4-1,FH535,2.739342,3
LNCaP-Clone-FGC,FH535,2.664302,1
LOUCY,FH535,1.818405,3
LoVo,FH535,0.560758,0
LP-1,FH535,1.831162,3
LS-123,FH535,2.196209,0
LS-411N,FH535,1.546519,0
LS-513,FH535,2.788871,0
LU-99A,FH535,0.289966,1
MC116,FH535,1.213056,3
MC-IXC,FH535,0.965164,3
MDA-MB-175-VII,FH535,0.642812,1
MDA-MB-361,FH535,0.992035,1
MDA-MB-453,FH535,2.20396,1
MDA-MB-468,FH535,0.302622,1
MEL-JUSO,FH535,1.926921,3
MEG-01,FH535,2.922041,3
MES-SA,FH535,1.929243,3
Mewo,FH535,2.135857,3
MFE-280,FH535,0.872224,3
MFE-296,FH535,1.47228,3
MG-63,FH535,1.985029,3
MHH-ES-1,FH535,1.836349,3
MHH-NB-11,FH535,4.159809,3
MHH-PREB-1,FH535,1.679354,3
MKN1,FH535,1.403986,0
MKN28,FH535,1.309946,0
ML-2,FH535,2.036923,3
MLMA,FH535,2.31029,3
MN-60,FH535,3.156279,3
MOG-G-CCM,FH535,2.691067,3
MOG-G-UVW,FH535,1.140996,3
MONO-MAC-6,FH535,1.719376,3
Mo-T,FH535,3.635754,3
MPP-89,FH535,2.407303,3
MRK-nu-1,FH535,1.037364,1
MSTO-211H,FH535,3.06747,3
MV-4-11,FH535,1.674013,3
NALM-6,FH535,1.826678,3
NAMALWA,FH535,1.81364,3
NB69,FH535,3.411369,3
NCI-H520,FH535,1.818382,1
NCI-SNU-1,FH535,2.360502,0
NCI-SNU-5,FH535,3.688297,0
NCI-SNU-16,FH535,3.819514,0
NH-12,FH535,2.812567,3
NKM-1,FH535,2.061683,3
NMC-G1,FH535,1.898288,3
no-11,FH535,1.74923,3
NOMO-1,FH535,1.693691,3
no-10,FH535,3.001845,3
NUGC-3,FH535,1.456205,0
NCI-H747,FH535,2.179283,0
NCI-H716,FH535,4.621933,0
NCI-H596,FH535,2.206451,1
NCI-H441,FH535,1.822173,1
NCI-H2452,FH535,5.667395,3
NCI-H358,FH535,1.90135,1
NCI-H1155,FH535,4.02522,1
NCI-H1436,FH535,3.988213,1
NCI-H28,FH535,2.292354,3
NCI-H1581,FH535,2.330506,1
NCI-H1573,FH535,2.993496,1
NCI-H1666,FH535,3.816231,1
NCI-H1703,FH535,1.382571,1
NCI-H1755,FH535,2.643365,1
NCI-H1993,FH535,2.522298,1
NCI-H2081,FH535,4.412811,1
NCI-H2196,FH535,3.586048,1
NCI-H524,FH535,2.468682,1
NCI-H748,FH535,5.36978,1
ONS-76,FH535,1.913636,3
OPM-2,FH535,3.13019,3
OS-RC-2,FH535,1.984821,2
P12-ICHIKAWA,FH535,2.507287,3
P30-OHK,FH535,2.449026,3
P31-FUJ,FH535,3.750111,3
PA-1,FH535,1.054836,1
OCUB-M,FH535,-0.309376,1
PF-382,FH535,2.092784,3
Raji,FH535,2.055607,3
RCM-1,FH535,1.809104,0
RD,FH535,1.741462,3
REH,FH535,2.407934,3
RF-48,FH535,3.114257,0
RKO,FH535,0.796779,0
RMG-I,FH535,2.308392,1
RPMI-2650,FH535,0.565849,3
RPMI-6666,FH535,3.112086,3
RPMI-8402,FH535,1.8821,3
RS4-11,FH535,2.654244,3
RT-112,FH535,1.790683,3
RVH-421,FH535,-0.112957,3
Saos-2,FH535,1.895181,3
SAS,FH535,4.375471,3
SCC-9,FH535,3.769761,3
SCH,FH535,2.704959,0
SF126,FH535,2.220494,3
SH-4,FH535,0.157218,3
SIG-M5,FH535,1.36066,3
SJRH30,FH535,0.848657,3
SJSA-1,FH535,1.763665,3
SK-CO-1,FH535,2.568655,0
SK-HEP-1,FH535,1.089075,2
SK-LMS-1,FH535,1.02019,3
SK-LU-1,FH535,0.654934,1
SK-MEL-1,FH535,3.984467,3
SK-MEL-3,FH535,1.704006,3
SK-MEL-24,FH535,1.74714,3
SK-MEL-30,FH535,1.686396,3
SK-MES-1,FH535,0.699709,1
SK-NEP-1,FH535,2.709571,2
SK-PN-DW,FH535,2.416755,3
SK-UT-1,FH535,0.723915,3
SNG-M,FH535,0.722883,3
SNU-387,FH535,2.08656,2
SNU-423,FH535,2.164072,2
SNU-449,FH535,1.627268,2
SNU-475,FH535,4.434702,2
SNU-C2B,FH535,1.500767,0
SU-DHL-1,FH535,3.620827,3
SUP-T1,FH535,1.665218,3
SW13,FH535,0.690704,3
SW1088,FH535,2.303465,3
SW1417,FH535,2.573903,0
SW1463,FH535,1.422528,0
SW1710,FH535,1.063821,3
SW1783,FH535,1.704731,3
SW48,FH535,0.681728,0
SW626,FH535,1.201542,1
SW684,FH535,3.387199,3
SW837,FH535,1.378906,0
SW872,FH535,1.918722,3
SW948,FH535,2.481279,0
SW962,FH535,1.424321,3
SW982,FH535,2.49373,3
T84,FH535,1.691565,0
TALL-1,FH535,3.068665,3
TGBC1TKB,FH535,1.496718,3
TGBC11TKB,FH535,3.232999,0
THP-1,FH535,2.829517,3
TUR,FH535,2.175912,3
TYK-nu,FH535,0.556473,1
U-2-OS,FH535,4.506761,3
U-698-M,FH535,0.703588,3
UACC-893,FH535,0.865306,1
UMC-11,FH535,0.386107,1
VM-CUB-1,FH535,1.847439,3
VMRC-RCZ,FH535,2.097629,2
WM-115,FH535,5.703138,3
WSU-NHL,FH535,2.453582,3
YAPC,FH535,3.46631,2
RCC10RGB,FH535,3.362804,2
KURAMOCHI,FH535,0.367052,1
KM-H2,FH535,2.807041,3
HuO-3N1,FH535,2.882921,3
OE19,FH535,1.470312,0
NCI-H838,FH535,2.254636,1
Ramos-2G6-4C10,FH535,1.931812,3
RPMI-8866,FH535,2.249401,3
QIMR-WIL,FH535,1.581334,3
PSN1,FH535,1.153265,2
OAW-42,FH535,0.931794,1
OE33,FH535,2.248179,0
CW-2,FH535,6.176294,0
CMK,FH535,1.591588,3
CHP-126,FH535,3.821092,3
CGTH-W-1,FH535,2.365137,3
COLO-320-HSR,FH535,2.733067,0
ATN-1,FH535,2.552759,3
CESS,FH535,2.07383,3
COLO-678,FH535,2.411132,0
COLO-684,FH535,2.495015,3
COLO-668,FH535,1.532028,1
LN-405,FH535,2.190217,3
TGBC24TKB,FH535,1.576156,3
A388,FH535,1.72177,3
BFTC-909,FH535,0.942925,2
C2BBe1,FH535,2.297027,0
SCC-25,FH535,1.976855,3
AsPC-1,FH535,3.197045,2
CA46,FH535,1.912097,3
AU565,FH535,0.100136,1
BL-41,FH535,1.828914,3
BL-70,FH535,1.473639,3
BV-173,FH535,1.603102,3
IA-LM,FH535,1.084764,1
TGW,FH535,3.149784,3
AN3-CA,FH535,0.325804,3
A204,FH535,1.934846,3
NY,FH535,1.442018,3
C3A,FH535,0.872745,2
A427,FH535,-1.511334,1
CAL-85-1,FH535,1.451652,1
CHL-1,FH535,0.393498,3
RL,FH535,3.364058,3
NCI-H1651,FH535,1.021485,1
RPMI-7951,FH535,2.753748,3
SCC-4,FH535,2.425875,3
SNU-C1,FH535,6.163798,0
ST486,FH535,1.599977,3
SW1990,FH535,1.752499,2
UACC-812,FH535,3.369283,1
SCC-15,FH535,1.53494,3
Capan-2,FH535,1.993793,2
CAL-27,FH535,1.164698,3
BC-3,FH535,2.062855,3
BC-1,FH535,1.23484,3
A704,FH535,0.455576,2
A101D,FH535,1.476006,3
769-P,FH535,1.597543,2
23132-87,FH535,1.294545,0
A431,FH535,1.086295,3
BFTC-905,FH535,1.25128,3
CAL-51,FH535,1.207389,1
SCC-3,FH535,3.434843,3
RERF-LC-MS,FH535,0.147856,1
GAK,FH535,0.595782,3
AM-38,FH535,2.947311,3
A4-Fuk,FH535,2.451787,3
A3-KAW,FH535,2.137044,3
DOK,FH535,2.744263,3
COR-L279,FH535,4.016226,1
NEC8,FH535,2.897774,3
CAS-1,FH535,2.330647,3
ALL-PO,FH535,0.904238,3
S-117,FH535,-1.617357,3
OCI-AML2,FH535,1.058509,3
MFM-223,FH535,3.70647,1
CAL-54,FH535,1.027433,2
EFO-21,FH535,2.436543,1
LS-1034,FH535,1.717412,0
22RV1,FH535,1.099858,1
8505C,FH535,1.14578,3
BCPAP,FH535,0.801522,3
BPH-1,FH535,2.782933,1
CAL-148,FH535,2.147324,1
CAL-39,FH535,0.970027,3
CaR-1,FH535,2.575032,0
HDLM-2,FH535,1.953511,3
HO-1-N-1,FH535,3.304413,3
HTC-C3,FH535,0.60134,3
KGN,FH535,1.382178,1
KLE,FH535,2.278994,3
KNS-81-FD,FH535,2.609973,3
K5,FH535,1.496959,3
L-363,FH535,1.792652,3
MDA-MB-415,FH535,1.610348,1
NCI-H1975,FH535,2.129826,1
SW954,FH535,1.94041,3
TE-441-T,FH535,1.842279,3
MDA-MB-157,FH535,1.940951,1
MMAC-SF,FH535,1.121969,3
MKN45,FH535,0.823082,0
NCI-H810,FH535,0.096729,1
NBsusSR,FH535,1.846835,3
MFH-ino,FH535,-0.547269,3
NOS-1,FH535,0.764377,3
PANC-03-27,FH535,2.120011,2
PANC-08-13,FH535,4.662443,2
PANC-10-05,FH535,1.494918,2
RO82-W-1,FH535,3.58432,3
SiHa,FH535,2.584872,3
SKG-IIIa,FH535,3.098212,3
TT,FH535,2.606102,3
VMRC-MELG,FH535,3.378316,3
TE-9,FH535,0.648414,0
TE-11,FH535,3.034495,0
TE-6,FH535,3.091902,0
TE-12,FH535,1.205914,0
YT,FH535,1.017167,3
BT-474,FH535,1.668926,1
OAW-28,FH535,2.569646,1
LCLC-97TM1,FH535,1.358546,1
KP-N-YS,FH535,2.817594,3
D-392MG,FH535,3.730076,3
D-502MG,FH535,0.703189,3
CAMA-1,FH535,0.08209,1
CTB-1,FH535,2.985987,3
Caov-4,FH535,4.113977,1
BT-483,FH535,6.705016,1
M059J,FH535,1.925992,3
HAL-01,FH535,2.34316,3
OMC-1,FH535,2.036139,3
ES8,FH535,1.430992,3
ES4,FH535,2.030837,3
ES6,FH535,0.893513,3
ES1,FH535,2.722819,3
EW-7,FH535,2.425077,3
EW-3,FH535,3.463886,3
EW-1,FH535,2.768898,3
EW-18,FH535,2.328232,3
EW-16,FH535,1.595393,3
EW-13,FH535,2.232028,3
EW-24,FH535,4.547794,3
LAN-6,FH535,2.78827,3
NB10,FH535,2.64913,3
NB12,FH535,2.006225,3
NB6,FH535,2.723641,3
NB7,FH535,1.736613,3
NB5,FH535,2.499551,3
NB13,FH535,1.654753,3
NB14,FH535,1.493976,3
NB1,FH535,2.230444,3
RH-1,FH535,2.296523,3
MZ2-MEL,FH535,0.373069,3
LS-180,FH535,1.972653,0
BICR22,FH535,1.239389,3
BICR78,FH535,3.449664,3
CCK-81,FH535,2.35113,0
COLO-783,FH535,3.848609,3
EN,FH535,1.084772,3
ES-2,FH535,3.002213,1
FU-OV-1,FH535,2.126289,1
G-MEL,FH535,3.364892,3
H2591,FH535,1.46754,3
H2595,FH535,3.890984,3
H2731,FH535,1.795705,3
H2803,FH535,2.619237,3
H2804,FH535,2.357812,3
H2869,FH535,3.448419,3
H290,FH535,2.114294,3
H3118,FH535,1.486456,3
H513,FH535,0.224552,3
HARA,FH535,1.773934,1
HCC-15,FH535,1.888703,1
HCC-44,FH535,1.279094,1
HCC-827,FH535,1.022387,1
IGR-37,FH535,0.38538,3
IHH-4,FH535,0.386597,3
IM-95,FH535,1.134134,0
JHH-2,FH535,4.077748,2
JHH-4,FH535,0.529874,2
JHH-6,FH535,1.048755,2
JHH-7,FH535,0.167707,2
JHU-011,FH535,1.471658,3
JHU-022,FH535,4.815936,3
KYM-1,FH535,2.334763,3
KYSE-220,FH535,2.62528,0
LN-18,FH535,0.798835,3
LN-229,FH535,1.639452,3
LNZTA3WT4,FH535,0.35345,3
MCAS,FH535,2.754853,1
MDA-MB-436,FH535,0.089558,1
MDST8,FH535,4.419237,0
MFE-319,FH535,1.297434,3
ML-1,FH535,0.927115,3
MS751,FH535,1.33198,3
NB(TU)1-10,FH535,2.186018,3
NCI-H1836,FH535,5.494754,1
NCI-H1869,FH535,2.00415,1
NCI-H1915,FH535,1.218128,1
NCI-H1944,FH535,0.819524,1
NCI-H196,FH535,4.323716,1
NCI-H2023,FH535,1.472574,1
NCI-H211,FH535,2.614835,1
NCI-H3122,FH535,1.717782,1
NCI-H647,FH535,3.414961,1
NCI-H841,FH535,-0.041515,1
NCI-H847,FH535,1.229994,1
OSC-20,FH535,1.081171,3
OV-90,FH535,0.297377,1
OVISE,FH535,1.956712,1
OVKATE,FH535,5.27436,1
OVMIU,FH535,1.966541,1
PA-TU-8988T,FH535,0.434888,2
PC-3_[JPC-3],FH535,1.678253,1
PCI-15A,FH535,1.605118,3
PCI-38,FH535,3.004957,3
PCI-6A,FH535,1.975008,3
PL18,FH535,2.746443,2
RERF-GC-1B,FH535,2.63642,0
RH-41,FH535,2.499962,3
SISO,FH535,0.883251,3
SKN,FH535,1.963858,3
SNU-182,FH535,2.273905,2
SNU-398,FH535,0.357709,2
SU8686,FH535,3.675412,2
SUIT-2,FH535,1.106162,2
SW156,FH535,0.909235,2
TC-71,FH535,3.162373,3
TOV-21G,FH535,5.988564,1
TT2609-C02,FH535,1.093521,3
VMRC-RCW,FH535,0.547509,2
WM278,FH535,1.545876,3
SUP-B15,FH535,0.987623,3
H3255,FH535,2.225933,1
201T,FH535,1.06396,1
451Lu,FH535,1.106139,3
OCI-AML3,FH535,2.244624,3
ASH-3,FH535,1.188428,3
BICR10,FH535,1.385312,3
BICR31,FH535,1.714453,3
CAL-29,FH535,3.338807,3
CAL-78,FH535,3.68378,3
CHSA0011,FH535,4.548009,3
CHSA0108,FH535,2.595981,3
CL-11,FH535,4.254878,0
CS1,FH535,1.994414,3
DAN-G,FH535,0.186925,2
EFM-192A,FH535,-0.9528,1
FU97,FH535,0.126846,0
H2369,FH535,0.881954,3
H2373,FH535,3.285911,3
H2461,FH535,1.48087,3
H2722,FH535,2.335301,3
H2795,FH535,0.250101,3
H2818,FH535,4.249191,3
HCC1428,FH535,1.670639,1
HCC202,FH535,0.604227,1
HCC-56,FH535,1.474426,0
HCC-78,FH535,2.612518,1
HDQ-P1,FH535,2.235742,1
ALL-SIL,FH535,1.104108,3
AMO-1,FH535,1.865968,3
COR-L95,FH535,5.498848,1
DND-41,FH535,2.123326,3
EJM,FH535,1.631311,3
Farage,FH535,1.899689,3
HeLa,FH535,0.649203,3
HPAC,FH535,1.875191,2
huH-1,FH535,0.843654,2
JHH-1,FH535,1.138342,2
JHU-029,FH535,2.164787,3
JIMT-1,FH535,1.126428,1
K2,FH535,0.077119,3
KMH-2,FH535,0.881276,3
KMRC-1,FH535,2.669247,2
KMRC-20,FH535,0.36627,2
KON,FH535,1.686389,3
KP-1N,FH535,1.246263,2
KP-2,FH535,0.973439,2
KP-3,FH535,1.708649,2
KYSE-30,FH535,1.901075,0
KYSE-50,FH535,0.202936,0
LC-1-sq,FH535,2.441918,1
LOU-NH91,FH535,0.960195,1
MCC26,FH535,5.475189,3
NCI-H1435,FH535,0.014821,1
NCI-H1568,FH535,1.864259,1
NCI-H1688,FH535,1.159801,1
NCI-H1781,FH535,1.419545,1
NCI-H2110,FH535,1.567266,1
